Nome,CNPJ,setor_economico_bovespa,data,ValorMercado,TotEmFiLP,TotEmFiCP,Receita,PtLqCo,PasNoCir,PasCir,LucroLiquido,Imobil,Fornec,CxOper,Estoques,EBIT,DvPgCP,DeprAmor,ClieCP,CtaRecCP,DpInCP,CaixaEEqCx,AtivoTot,AtvCir,ApFiVrJuLP,AplFin,ApFiVrJuCP,AFAvCAmLP,AFAvCAmCP,linha_na,aplfin,caixaeqvcaixa,contasreceber
Aco Altona,82643537000134,Bens industriais,Dez 2013,57825,20313,22628,180363,69020,144346,48656,9216,169467,6543,19592,22370,18111,2718,9885,0,49525,0,871,262022,87946,0,0,7185,0,0,1,7185,871,49525
Aco Altona,82643537000134,Bens industriais,Mar 2014,51345,22286,18731,48943,72180,146550,50209,3160,174967,10801,11414,22193,6389,2280,2432,0,49588,0,0,268939,88195,0,0,7756,0,0,1,7756,0,49588
Aco Altona,82643537000134,Bens industriais,Jun 2014,57847.5,19332,21274,95445,74107,144052,49572,5087,175376,7794,18347,24175,10353,59,4921,0,45491,0,8357,267731,86088,0,0,0,0,0,1,0,8357,45491
Aco Altona,82643537000134,Bens industriais,Set 2014,48499.5,18384,21989,137923,76158,143396,51841,7138,175299,8470,26713,27139,13598,59,7469,0,41438,0,13197,271395,89941,0,0,0,0,0,1,0,13197,41438
Aco Altona,82643537000134,Bens industriais,Dez 2014,46012.5,20691,30074,171325,73510,146333,53159,6770,174210,5401,21517,32300,13328,2183,10055,0,36021,0,16023,273002,92762,0,0,0,0,0,1,0,16023,36021
Aco Altona,82643537000134,Bens industriais,Mar 2015,34852.5,26009,34858,36043,70820,148679,60298,-2690,172128,5403,-9610,32379,-976,2091,2563,0,47492,0,14893,279797,103631,0,0,0,0,0,1,0,14893,47492
Aco Altona,82643537000134,Bens industriais,Jun 2015,37080,20470,30183,72783,69359,142534,53255,-4118,170231,5681,-406,30722,-735,78,5085,0,41428,0,10041,265148,90783,0,0,0,0,0,1,0,10041,41428
Aco Altona,82643537000134,Bens industriais,Set 2015,36947.25,25241,25652,114130,71107,148570,51743,-2370,167817,6573,-233,29318,4870,78,7544,0,52905,0,8844,271420,99660,0,0,0,0,0,1,0,8844,52905
Aco Altona,82643537000134,Bens industriais,Dez 2015,39331.5,27391,25825,146637,71794,151243,46348,122,166223,3766,4507,31245,8567,1286,9976,0,45872,0,13555,269385,99523,0,0,0,0,0,1,0,13555,45872
Aco Altona,82643537000134,Bens industriais,Mar 2016,28552.5,18611,22226,37863,72189,142724,44462,395,164439,5992,7576,32852,3055,1176,2402,0,43084,0,6871,259375,91300,0,0,0,0,0,1,0,6871,43084
Aco Altona,82643537000134,Bens industriais,Jun 2016,29700,16109,24315,69114,68259,139792,46688,-3535,162992,4357,11487,33708,-2054,60,4797,0,38473,0,7272,254739,87230,0,0,0,0,0,1,0,7272,38473
Aco Altona,82643537000134,Bens industriais,Set 2016,27787.5,17581,23591,89851,63171,140225,45536,-7753,161123,4881,16007,34751,-7175,73,7256,0,30321,0,10041,248932,82696,0,0,0,0,0,1,0,10041,30321
Aco Altona,82643537000134,Bens industriais,Dez 2016,23782.5,12686,29472,117687,69205,128607,46754,-1651,159361,4096,11321,31672,3046,141,9744,0,32750,0,5753,244566,79284,0,0,0,0,0,1,0,5753,32750
Aco Altona,82643537000134,Bens industriais,Mar 2017,37530,9413,29281,30436,69063,125755,51330,-142,158209,8171,2454,34508,416,141,2337,0,35141,0,2614,246148,82429,0,0,0,0,0,1,0,2614,35141
Aco Altona,82643537000134,Bens industriais,Jun 2017,NA,5409,28241,76830,71768,121125,55653,2496,157297,10057,8678,33995,4911,73,4712,0,41856,0,1392,248546,85844,0,0,0,0,0,1,0,1392,41856
Aco Altona,82643537000134,Bens industriais,Set 2017,52642.5,3654,27650,121258,74445,119757,60848,5172,158877,13182,15881,41229,9950,73,7111,0,38854,0,1105,255050,90295,0,0,0,0,0,1,0,1105,38854
Aco Altona,82643537000134,Bens industriais,Dez 2017,74250,4592,49858,168407,97996,59318,96088,30648,154554,13693,-801,38546,48110,43,9569,0,40352,0,1394,253402,92924,0,0,0,0,0,1,0,1394,40352
Aco Altona,82643537000134,Bens industriais,Mar 2018,130477.5,3803,49391,57896,101651,59539,98720,3655,154990,16540,3981,35711,6110,43,2142,0,47299,0,336,259910,98347,0,0,0,0,0,1,0,336,47299
Aco Altona,82643537000134,Bens industriais,Jun 2018,130275,17909,50684,115516,94980,76866,113097,6190,155224,18198,3782,43616,11020,6183,4349,0,55963,0,4691,284943,122891,0,0,3523,0,0,1,3523,4691,55963
Aco Altona,82643537000134,Bens industriais,Set 2018,110925,19630,58304,183809,98526,77591,125309,9736,162119,21715,1758,52309,15829,2159,6970,0,60669,0,1298,301426,132757,0,0,2062,0,0,1,2062,1298,60669
Aco Altona,82643537000134,Bens industriais,Dez 2018,94282.5,26254,55954,246961,154624,76250,116237,12249,217766,15412,62474,42432,20160,3440,9930,0,50620,0,1929,347111,112601,0,0,3657,0,0,1,3657,1929,50620
Aco Altona,82643537000134,Bens industriais,Mar 2019,122880,25320,51193,87896,160374,81579,103236,5750,197291,15420,-8685,38425,9144,3418,2334,0,70313,0,5176,345189,128390,0,0,2646,0,0,1,2646,5176,70313
Aco Altona,82643537000134,Bens industriais,Jun 2019,104430,23645,47421,166826,160878,80161,104021,10494,182768,14335,-11319,38660,15888,4364,4717,0,55510,0,4253,345060,112292,0,0,2470,0,0,1,2470,4253,55510
Aco Altona,82643537000134,Bens industriais,Set 2019,196140,30748,51363,232299,165525,94092,111030,15142,192799,15783,35040,39494,24342,2843,7647,0,62736,0,8919,370647,127456,0,0,3524,0,0,1,3524,8919,62736
Aco Altona,82643537000134,Bens industriais,Dez 2019,220012.5,27026,60622,299194,162778,87142,118558,16851,190380,12310,-12844,33850,27074,3965,10171,0,74768,0,4985,368478,128976,0,0,3928,0,0,1,3928,4985,74768
Advanced-Dh,10345009000198,Saúde,Mar 2011,281256.5,0,0,74508,34461,47080,9837,54568,575,188,63673,0,64619,0,29,0,6891,0,59486,91378,66704,0,0,0,0,0,1,0,59486,6891
Advanced-Dh,10345009000198,Saúde,Dez 2017,15427.69992,0,0,18,-9328,3806,7931,-5411,19,1015,-180,0,-4787,0,76,0,17,0,157,2409,357,0,0,0,0,0,1,0,157,17
Advanced-Dh,10345009000198,Saúde,Mar 2018,13386.51,0,0,5,-9737,4068,8159,-2276,30,824,-1946,0,-2128,0,19,0,24,0,65,2490,523,0,0,0,0,0,1,0,65,24
Advanced-Dh,10345009000198,Saúde,Jun 2018,12100.8,0,0,5,-8825,346,9356,-1680,29,907,-2336,0,-685,0,38,0,4,0,4,877,478,0,0,0,0,0,1,0,4,4
Advanced-Dh,10345009000198,Saúde,Set 2018,12857.1,0,0,5,-13551,331,14229,-3908,25,848,160,0,-1771,NA,69,0,2,0,1,1009,622,0,0,0,0,0,1,0,1,2
Advanced-Dh,10345009000198,Saúde,Dez 2018,11344.5,0,0,5,-14585,703,14303,-4941,23,820,159,0,-2719,0,92,0,2,0,0,421,119,0,0,0,0,0,1,0,0,2
Advanced-Dh,10345009000198,Saúde,Set 2019,13764.66,0,0,33,-19776,2192,17826,-5191,2,1099,-8,0,-3521,0,67,0,0,0,0,242,23,0,0,0,0,0,1,0,0,0
AES Tiete E,04128563000110,Utilidade pública,Mar 2007,NA,3662884,737522,1838814,5348600,7854384,3986215,60285,6898855,881909,NA,31119,540599,355315,NA,1928570,0,1531154,0,17189199,5353080,0,877566,0,0,0,1,877566,1531154,1928570
AES Tiete E,04128563000110,Utilidade pública,Jun 2007,NA,3604189,576233,4020521,6800243,8255325,3851650,171192,8427752,937356,NA,35439,1219144,2227,NA,1920393,0,1454997,0,18907218,5665236,0,1002918,0,0,0,1,1002918,1454997,1920393
AES Tiete E,04128563000110,Utilidade pública,Set 2007,NA,3382399,508153,6008050,6423893,7986389,4025941,219295,8406306,990683,NA,34746,1780254,1456,NA,1840415,0,1398280,0,18436223,5154881,0,493228,0,0,0,1,493228,1398280,1840415
AES Tiete E,04128563000110,Utilidade pública,Dez 2007,NA,5843366,579996,8748241,5643304,8325280,3796615,-270780,7901922,800791,NA,32565,1648067,248847,NA,2590234,0,2045550,0,17765199,5030282,0,0,0,0,0,1,0,2045550,2590234
AES Tiete E,04128563000110,Utilidade pública,Mar 2008,NA,5847834,598976,1995897,5835261,8347652,3792590,14679,7811918,804121,NA,38411,468497,244591,NA,2317047,0,2497425,0,17975503,5255664,0,0,0,0,0,1,0,2497425,2317047
AES Tiete E,04128563000110,Utilidade pública,Jun 2008,NA,5722542,686529,4058295,6167462,8063264,3812723,222918,7792942,750933,NA,39475,1204196,6421,NA,2464127,0,2524535,0,18043449,5344699,0,0,0,0,0,1,0,2524535,2464127
AES Tiete E,04128563000110,Utilidade pública,Set 2008,NA,5719443,634324,6218747,6160531,7930292,4114402,331331,7789350,840364,NA,43712,1728515,8521,NA,2484510,0,2765007,0,18205225,5453196,0,0,0,0,0,1,0,2765007,2484510
AES Tiete E,04128563000110,Utilidade pública,Dez 2008,NA,3676643,278445,8366422,5741238,7627859,4836982,628790,7804658,932320,2503349,52040,2309346,841031,640895,2256661,0,2877096,0,18206079,5539778,0,0,0,0,0,1,0,2877096,2256661
AES Tiete E,04128563000110,Utilidade pública,Mar 2009,NA,3606545,278871,1966342,6124602,7490702,4251220,179141,7879272,827969,-104034,55816,629473,834339,161647,2317103,0,2509508,0,17866524,5307625,0,0,0,0,0,1,0,2509508,2317103
AES Tiete E,04128563000110,Utilidade pública,Jun 2009,NA,2949467,778072,3935033,6333186,6891408,4129582,294387,7832571,802098,480133,52134,1143449,218247,298965,2313027,0,2070528,0,17354176,4987278,0,0,0,0,0,1,0,2070528,2313027
AES Tiete E,04128563000110,Utilidade pública,Set 2009,NA,2883503,779594,6132939,6083568,7131854,4351519,377732,7845725,787563,1409736,50321,1776736,344345,486550,2445204,0,2260013,0,17566941,5206559,0,0,0,0,0,1,0,2260013,2445204
AES Tiete E,04128563000110,Utilidade pública,Dez 2009,NA,3412270,779340,8415031,5746281,6698355,4630898,627210,7897932,885528,1756033,58860,2283098,907694,651817,2127412,0,2418609,0,17075534,4978911,0,0,0,0,0,1,0,2418609,2127412
AES Tiete E,04128563000110,Utilidade pública,Mar 2010,NA,3377829,792727,2327763,8120125,7402687,3417502,152707,3481011,852723,393360,66397,683045,90512,NA,1921689,0,2604385,0,18940314,4606578,0,0,0,0,0,1,0,2604385,1921689
AES Tiete E,04128563000110,Utilidade pública,Jun 2010,NA,4362766,57536,4735546,7609123,8354768,2989064,363726,3455338,911983,1067073,63844,1360121,181094,NA,2105844,0,2498712,0,18952955,4685595,0,0,0,0,0,1,0,2498712,2105844
AES Tiete E,04128563000110,Utilidade pública,Set 2010,NA,4162189,257813,7272042,7162752,8115226,3888271,533650,3460016,948175,2250437,72792,2151133,443572,NA,2393475,0,2445080,0,19166249,4920364,0,0,0,0,0,1,0,2445080,2393475
AES Tiete E,04128563000110,Utilidade pública,Dez 2010,NA,4116767,353563,10016982,7435024,7779725,3000385,674339,3406810,1047755,2877997,58018,2793360,79274,722982,1151302,0,0,303510,18215134,4220454,0,0,2170442,0,0,1,2170442,303510,1151302
AES Tiete E,04128563000110,Utilidade pública,Mar 2011,NA,4118291,439972,2501973,7902163,7753373,2839044,161728,3413058,934690,236118,59371,710510,79232,217300,0,1482129,0,404531,18494580,4518230,0,0,2079763,0,0,1,2079763,404531,1482129
AES Tiete E,04128563000110,Utilidade pública,Jun 2012,NA,3289648,671571,5019940,7553062,6055859,3001561,222912,3126092,1095356,622599,62850,979554,25191,337260,0,1531672,0,83229,16610482,3736528,0,0,1485482,0,0,1,1485482,83229,1531672
AES Tiete E,04128563000110,Utilidade pública,Set 2012,NA,3087798,727610,7497633,7538034,5744269,3368166,316541,3106307,1157401,1267479,64838,1334940,25330,586652,0,1566106,0,54812,16650469,3848863,0,0,1484079,0,0,1,1484079,54812,1566106
AES Tiete E,04128563000110,Utilidade pública,Dez 2012,NA,3316775,401904,10099789,7344034,5823639,3272881,340604,3129052,1430630,1472516,63936,1408524,63449,641080,0,1569701,0,210952,16440554,3684149,0,0,1232390,0,0,1,1232390,210952,1569701
AES Tiete E,04128563000110,Utilidade pública,Mar 2013,NA,3285540,953805,2499880,5639650,8484258,3686643,78536,3110939,1617630,120662,67314,287884,63419,161368,0,1522696,0,454593,17810551,4315850,0,0,1363521,0,0,1,1363521,454593,1522696
AES Tiete E,04128563000110,Utilidade pública,Jun 2013,NA,3464345,395434,4706063,6491454,7782646,2820752,369369,3096258,1231136,697529,64773,1141361,52683,317047,0,1269325,0,491766,17094852,4039031,0,0,1181195,0,0,1,1181195,491766,1269325
AES Tiete E,04128563000110,Utilidade pública,Set 2013,NA,3466797,481422,7049656,6309802,7787547,2832185,463964,3105321,982241,1519561,62070,1491820,74849,472172,0,1360162,0,109544,16929534,3814131,0,0,1800221,0,0,1,1800221,109544,1360162
AES Tiete E,04128563000110,Utilidade pública,Dez 2013,NA,3424499,441344,9428650,6538341,7169754,2865365,517018,3150276,1039117,1755779,54822,1624370,68188,626808,0,1336621,0,271996,16573460,3450472,0,0,1368315,0,0,1,1368315,271996,1336621
AES Tiete E,04128563000110,Utilidade pública,Mar 2014,NA,3724783,535893,2634913,6683257,7467493,3490547,93812,3145967,1731561,-190949,54586,249005,68183,188517,0,1673360,0,0,17641297,4408101,0,0,1180860,0,0,1,1180860,0,1673360
AES Tiete E,04128563000110,Utilidade pública,Jun 2014,NA,3386520,467527,5300974,6252898,7134362,3147980,83104,3152206,1321152,69054,71316,129422,58902,378970,0,1502634,0,286462,16535240,3126687,0,0,806069,0,0,1,806069,286462,1502634
AES Tiete E,04128563000110,Utilidade pública,Set 2014,NA,3334929,1181739,8377976,5879543,7124993,4274745,51480,3165685,1646712,540799,71212,268180,59345,586427,0,1816898,0,136432,17279281,4015821,0,0,1425808,0,0,1,1425808,136432,1816898
AES Tiete E,04128563000110,Utilidade pública,Dez 2014,NA,3277542,1418388,11765343,5902875,7222021,4548918,81945,3161589,1752879,647183,62776,604262,6167,666006,0,1865563,0,217634,17673814,4424012,0,0,1607000,0,0,1,1607000,217634,1865563
